Place,WeightClassKg,Division,Name,BirthYear,BodyweightKg,Country,Best3BenchKg,TotalKg,Event,Equipment,Sex,_meet_name,_meet_date,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,BirthDate,Team,Age,Tested
2,75,Open,Gerhard Leierzopf,1961,72.6,Austria,140,140,B,Raw,M,World Disabled Bench Press Championships,2000-12-08,,,,,,,,,,,,,,,
26,93,Open,Alexander Taschner,1989,92.85,Austria,167.5,677.5,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,210,220,227.5,227.5,157.5,162.5,167.5,272.5,282.5,-292.5,282.5,,,,
10,105,Open,Vinzenz Helmreich,1990,103.5,Austria,175,780,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,265,277.5,285,285,162.5,170,175,295,320,-330,320,,,,
11,120,Open,Michael Leitner,1994,118.45,Austria,185,790,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,265,277.5,282.5,282.5,185,-190,-190,305,322.5,-342.5,322.5,,,,
11,74,Juniors,Klaus Kaufmann,1996,73,Austria,140,580,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,202.5,212.5,-215,212.5,-130,135,140,227.5,-235,-235,227.5,,,,
13,83,Juniors,Manuel Weberndorfer,1998,81.45,Austria,127.5,570,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,195,207.5,215,215,117.5,125,127.5,210,222.5,227.5,227.5,,,,
11,93,Juniors,Paul Egger,1998,92,Austria,137.5,690,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,235,247.5,-257.5,247.5,132.5,137.5,-140,280,295,305,305,,,,
8,120,Juniors,Jan Gebesmair,1996,119.65,Austria,167.5,712.5,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,240,-247.5,-247.5,240,162.5,165,167.5,-305,305,-325,305,,,,
13,74,Masters 1,Christian Wenka,1977,73.95,Austria,112.5,537.5,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,172.5,185,190,190,107.5,112.5,-117.5,-222.5,222.5,235,235,,,,
7,93,Masters 3,Wolfgang Reitter,1959,90.8,Austria,110,447.5,SBD,Raw,M,World Classic Powerlifting Championships,2019-06-04,147.5,152.5,162.5,162.5,105,110,-112.5,160,175,-180,175,,,,
9,52,Open,Barbara Gapp,1981,51.55,Austria,60,355,SBD,Raw,F,World Classic Powerlifting Championships,2019-06-04,105,110,-112.5,110,55,-60,60,172.5,180,185,185,,,,
9,57,Masters 1,Courtney Evors,1979,55.9,Germany,57.5,305,SBD,Raw,F,World Classic Powerlifting Championships,2019-06-04,110,115,-120,115,57.5,-60,-60,127.5,132.5,-135,132.5,,,,
2,75,Open,Gerhard Leierzopf,1961,73.2,Austria,135,135,B,Raw,M,World Disabled Bench Press Championships,1999-12-09,,,,,135,-145,-147.5,,,,,,,,
13,69,Juniors,Kornelia Brunnhofer,2000,66.78,Austria,77.5,410,SBD,Raw,F,World Junior and Sub-Junior Classic Championships,2023-08-27,130,140,147.5,147.5,72.5,77.5,-80,170,182.5,185,185,,,,
1,105,Sub-Juniors,Hamza Demir,2005,104.9,Austria,205,836.5,SBD,Raw,M,World Junior and Sub-Junior Classic Championships,2023-08-27,275,301,-310.5,301,195,205,-214.5,315,330.5,-357.5,330.5,,,,
3,120+,Juniors,Phillip Nikolic,2004,148.5,Austria,222.5,867.5,SBD,Raw,M,World Sub-Junior and Junior Powerlifting Championships,2026-08-18,305,325,-335,325,205,215,222.5,287.5,307.5,320,320,,,,
12,52,Open,Jelena Bijelic,1992,51.83,Austria,95,417.5,SBD,Raw,F,World Classic Powerlifting Championships,2025-06-08,137.5,145,-150,145,-95,95,-100,170,177.5,-182.5,177.5,,,,
11,69,Open,Raphaela Jungmann,1987,68.53,Austria,110,492.5,SBD,Raw,F,World Classic Powerlifting Championships,2025-06-08,170,180,-185,180,-105,105,110,185,195,202.5,202.5,,,,
7,66,Open,Joel Christopher Catena,1996,65.41,Austria,162.5,657.5,SBD,Raw,M,World Classic Powerlifting Championships,2025-06-08,220,232.5,240,240,155,162.5,-167.5,242.5,255,-262.5,255,,,,
15,74,Open,Alain Jost,1997,73.77,Switzerland,157.5,645,SBD,Raw,M,World Classic Powerlifting Championships,2025-06-08,210,225,232.5,232.5,152.5,157.5,-160,255,-275,-275,255,,,,
DQ,93,Open,Thomas Jost #1,1992,92.86,Austria,200,,SBD,Raw,M,World Classic Powerlifting Championships,2025-06-08,-260,-270,-270,,190,200,-202.5,285,305,-315,305,,,,
32,93,Open,Andreas Polednak,1989,91.8,Austria,165,715,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,-230,230,245,245,155,160,165,285,305,-322.5,305,,Austria,,
22,83,Open,Michael Wimmesberger,1992,82.6,Austria,152.5,685,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,235,245,252.5,252.5,152.5,-157.5,-157.5,260,280,-295,280,,Austria,,
13,93,Open,Thomas Jost #1,1992,92.7,Austria,187.5,785,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,260,275,282.5,282.5,175,182.5,187.5,287.5,302.5,315,315,,Austria,,
15,120,Open,Michael Leitner,1994,115.8,Austria,195,820,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,272.5,287.5,-297.5,287.5,185,195,-202.5,302.5,325,337.5,337.5,,Austria,,
7,66,Open,Joel Christopher Catena,1996,65.8,Austria,150,632.5,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,207.5,220,227.5,227.5,150,-155,-155,230,245,255,255,,Austria,,
17,83,Open,Michael Pühringer,1997,82.5,Austria,182.5,722.5,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,242.5,252.5,260,260,172.5,177.5,182.5,260,270,280,280,,Austria,,
18,74,Open,Alain Jost,1997,71.7,Switzerland,147.5,642.5,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,195,210,220,220,140,147.5,-152.5,262.5,-275,275,275,,Switzerland,,
21,105,Open,Paul Egger,1998,102.8,Austria,162.5,785,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,260,275,282.5,282.5,150,157.5,162.5,300,320,340,340,,Austria,,
10,120+,Open,Alexander Renner,1999,147.7,Austria,230,900,SBD,Raw,M,World Classic Powerlifting Championships,2023-06-11,285,305,310,310,215,225,230,310,345,360,360,,Austria,,
8,63,Open,Pantea Supanetz,1990,62.9,Austria,107.5,457.5,SBD,Raw,F,World Classic Powerlifting Championships,2023-06-11,157.5,-167.5,167.5,167.5,100,105,107.5,182.5,-195,-200,182.5,,Austria,,
10,52,Open,Jelena Bijelic,1992,51.85,Austria,85,395,SBD,Raw,F,World Classic Powerlifting Championships,2023-06-11,122.5,130,135,135,80,85,-90,165,175,-180,175,,Austria,,
16,76,Open,Christina Eggel,1993,75.5,Austria,95,480,SBD,Raw,F,World Classic Powerlifting Championships,2023-06-11,165,172.5,177.5,177.5,87.5,92.5,95,195,207.5,-212.5,207.5,,Austria,,
9,84+,Open,Stefanie Gierlinger,1994,121.35,Austria,112.5,527.5,SBD,Raw,F,World Classic Powerlifting Championships,2023-06-11,187.5,197.5,205,205,105,-112.5,112.5,200,210,-220,210,,Austria,,
2,83,Open,Jürgen Kraushofer,1993,82.3,Austria,207.5,207.5,B,Raw,M,World Classic & Equipped Bench Press Championships,2023-05-20,,,,,200,-207.5,207.5,,,,,,,30,
8,93,Open,Matthias David Pitscheider,2001,87.95,Austria,202.5,202.5,B,Raw,M,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,202.5,-212.5,-212.5,,,,,,,,
11,93,Open,Lukas Kreuzer,1999,91.87,Austria,195,195,B,Raw,M,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,195,-205,-225,,,,,,,,
5,63,Open,Sonja Ruess,1998,62.6,Austria,115,115,B,Raw,F,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,107.5,112.5,115,,,,,,,,
3,83,Juniors,Niklas Hutterer,2007,81.47,Austria,195,195,B,Raw,M,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,185,192.5,195,,,,,,,,
3,93,Juniors,Jakob Grandl,2005,92.19,Austria,202.5,202.5,B,Raw,M,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,192.5,-200,202.5,,,,,,,,
3,120+,Juniors,Phillip Nikolic,2004,146.38,Austria,222.5,222.5,B,Raw,M,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,207.5,-220,222.5,,,,,,,,
8,76,Juniors,Desiree Schöpf,2003,71.8,Austria,107.5,107.5,B,Raw,F,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,97.5,102.5,107.5,,,,,,,,
4,120,Masters 1,Christian Klotz,1977,108.25,Austria,215,215,B,Raw,M,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,192.5,205,215,,,,,,,,
