sex,age_class,equipment,weight_class,lift,record_kg,athlete,meet,date_iso,notes
M,Jugend,Raw,53,Squat,,,,,Rekord offen
M,Junioren,Raw,53,Squat,,,,,Rekord offen
M,Open,Raw,59,Squat,175,HAHNENKAMP Stephan,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,Jugend,Raw,59,Squat,132.5,BINDER Markus,"Österr. Meisterschaft Allg KDK Haid, Oö",2015-12-12,
M,Junioren,Raw,59,Squat,175,HAHNENKAMP Stephan,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,AK1,Raw,59,Squat,155,REITINGER Christof,"Österr. Meisterschaft AK KDK Mayrwies, S",2021-07-25,
M,AK2,Raw,59,Squat,85,"FENZL Josef, II","3. RAW-Meisterschaft Allg KDK Stockerau, Nö",2011-06-05,
M,AK3,Raw,59,Squat,55,"FENZL Josef, II","Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
M,AK4,Raw,59,Squat,,,,,Rekord offen
M,Open,Raw,66,Squat,240,CATENA Joel,"Staatsmeisterschaft Allg KDK Wien, W",2024-09-15,
M,Jugend,Raw,66,Squat,192.5,WITTMANN Maxim,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
M,Junioren,Raw,66,Squat,203,GLIEBE Nikolas,"Staatsmeisterschaft Allg KDK Freistadt, Oö",2019-09-21,
M,AK1,Raw,66,Squat,177.5,WENKA Christian,"Europameisterschaft AK 1-4 KDK Albi, Frankreich",2020-03-13,
M,AK2,Raw,66,Squat,150,STADLHOFER Ewald,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,AK3,Raw,66,Squat,65,"FENZL Josef, II",Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,AK4,Raw,66,Squat,,,,,Rekord offen
M,Open,Raw,74,Squat,247.5,GLIEBE Nikolas,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Jugend,Raw,74,Squat,215.5,MATZEK Valentin,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,Junioren,Raw,74,Squat,237.5,BALAZS Adrian,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,AK1,Raw,74,Squat,210,LIEB Rene,"Weltmeisterschaft AK 1-4 KDK Cape Town, Südafrika",2025-10-19,
M,AK2,Raw,74,Squat,180,MÖTH Helmut,"Wiener Meisterschaft KDK Stockerau, Nö",2024-05-05,
M,AK3,Raw,74,Squat,155,MAYER Gerhard,"Wiener Meisterschaft KDK Stockerau, Nö",2022-05-08,
M,AK4,Raw,74,Squat,118,STROHOFER Werner,"Salzburger Meisterschaft KDK Salzburg, S",2026-04-12,
M,Open,Raw,83,Squat,260.5,KREUZER Lukas,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Jugend,Raw,83,Squat,230,ZHOU Emilio,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Junioren,Raw,83,Squat,255,HOFER René,"Europameisterschaft Jun KDK Kaunas, Litauen",2018-12-02,
M,AK1,Raw,83,Squat,212.5,KEPPLER Matthias,"Europameisterschaft Masters KDK Pilsen, Tschechien",2021-07-13,
M,AK2,Raw,83,Squat,198,MÖTH Helmut,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
M,AK3,Raw,83,Squat,157.5,REISS Johannes,"Europameisterschaft AK 1-4 KDK Györ, Ungarn",2019-03-10,
M,AK4,Raw,83,Squat,102.5,WINKLER Matthias,"Salzburger Meisterschaft KDK Grödig, S",2022-05-15,
M,Open,Raw,93,Squat,308,HOFER René,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,Jugend,Raw,93,Squat,275,PETERSEN Simon,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,Junioren,Raw,93,Squat,282.5,HOFER René,"Europameisterschaft Allg KDK Kaunas, Litauen",2019-12-07,
M,AK1,Raw,93,Squat,252.5,MUSIL Michael,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-04,
M,AK2,Raw,93,Squat,252.5,MUSIL Michael,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-04,
M,AK3,Raw,93,Squat,170,SOLONAKIS Dimitros,"Oberösterr. Meisterschaft KDK Gallneukirchen, Oö",2026-05-03,
M,AK4,Raw,93,Squat,120,KHOSROW Riahi,"Landesmeisterschaft Nö KDK Amstetten, Nö",2021-08-14,
M,Open,Raw,105,Squat,320,BRUNNER Rene,"Europameisterschaft Masters KDK Budapest, Ungarn",2023-03-05,
