sex,weight_class,block,name_startlist,name_opl
M,59,OPEN,Hahnenkamp Stephan,Stephan Hahnenkamp
M,66,OPEN,Osman Ali,Ali Osman
M,66,OPEN,Persoglio Adrian,Adrian Persoglio
M,74,OPEN,Bacher Timo,Timo Bacher
M,74,OPEN,Matzek Valentin,Valentin Matzek
M,74,OPEN,Burger Christian,Christian Burger
M,74,OPEN,Roidmayer Noah,Noah Roidmayer
M,74,OPEN,Bohl Lukas,Lukas Bohl
M,74,OPEN,Guttenbrunner Lukas,Lukas Guttenbrunner
M,74,OPEN,Kurz Theophil,Theophil Kurz
M,83,OPEN,Kainbacher Stephan,Stephan Kainbacher
M,83,OPEN,Iporre-Castro Daniel,Daniel Iporre Castro
M,83,OPEN,Winter Benedikt,Benedikt Winter
M,83,OPEN,Kürnsteiner David,David Kürnsteiner
M,83,OPEN,Schörgenhuber Andreas,Andreas Schörgenhuber
M,93,OPEN,Wöckl Alexander,Alexander Wöckl
M,93,OPEN,Polednak Andreas,Andreas Polednak
M,93,OPEN,Hillinger Matthias,Matthias Hillinger
M,93,OPEN,Rescher Peter,Peter Rescher
M,105,OPEN,Senftner Fabian,Fabian Senftner
M,105,OPEN,Lebenicnik Marko,Marko Lebenicnik
M,105,OPEN,Gutenbrunner Michael,Michael Gutenbrunner
M,105,OPEN,Della Pietra Alessandro,Alessandro Della Pietra
M,120,OPEN,Kapfer Simon,Simon Kapfer
M,120,OPEN,Brandl Michael,Michael Brandl
M,120,OPEN,Kelemen Raphael,Raphael Kelemen
M,120,OPEN,Bauer Tristan,Tristan Bauer
M,20+,OPEN,Würflinger Christoph,Christoph Würflinger
M,20+,OPEN,Teaca Stefan,Stefan Teaca
M,20+,OPEN,Dibra Alen,Alen Dibra
M,20+,OPEN,Wirth Philipp,Philipp Wirth
M,20+,OPEN,Kaya Diyar,Diyar Kaya
M,93,PRIME,Hofer René,René Hofer
M,93,PRIME,Kreuzer Lukas,Lukas Kreuzer
M,83,PRIME,Schnell Raffael,Raffael Schnell
M,66,PRIME,Catena Joel,Joel Christopher Catena
M,93,PRIME,Pühringer Michael,Michael Pühringer
M,120,PRIME,Leitner Michael,Michael Leitner
M,105,PRIME,Hauer Raphael,Raphael Hauer
M,83,PRIME,Joch Pascal,Pascal Joch
M,83,PRIME,Himmelbauer David,David Himmelbauer
M,93,PRIME,Egger Paul,Paul Egger
M,83,PRIME,Pöhlmann Lukas,Lukas Pöhlmann
M,120,PRIME,Lehner Philipp,Philipp Lehner
F,52,OPEN,Mandler Elisabeth,Lilly Mandler
F,52,OPEN,Zeitler Sarah,Sarah Zeitler
F,52,OPEN,Baumann Verena,Verena Baumann
F,52,OPEN,Zhou Erjiao,Erjiao Zhou
F,57,OPEN,Lehner Giulia,Giulia Lehner
F,57,OPEN,Pistlova Miroslava,Miroslava Pistlova
F,57,OPEN,Trabi Amelie,Amelie Trabi
F,57,OPEN,Jelinek Nina,Nina Jelinek
F,57,OPEN,Theußl Stefanie,Stefanie Theußl
F,57,OPEN,Schauer Stefanie,Stefanie Schauer
F,57,OPEN,Staffel Simone,Simone Staffel
F,63,OPEN,Reschreiter Cara,Cara Reschreiter
F,63,OPEN,Egler Astrid,Astrid Egler
F,63,OPEN,Ertl Luisa,Luisa Ertl
F,69,OPEN,Maier Sabrina,Sabrina Maier
F,69,OPEN,Kandler Julia,Julia Kandler
F,69,OPEN,Kalab Sarah,Sarah Kalab
F,69,OPEN,Kantyka Marcelina,Marcelina Kantyka
F,76,OPEN,Zbiral Barbara,Barbara Zbiral
F,76,OPEN,Aichinger Eva,Eva Aichinger
F,76,OPEN,Petric Laura,Laura Petric
F,76,OPEN,Pelz Pauline Chiamaka,Pauline Chiamaka Pelz
F,76,OPEN,Barrast Zoe,Zoe Barrast
F,76,OPEN,Noe Anna,Anna Noe
F,84,OPEN,Windisch Elisabeth,Elisabeth Windisch
F,84,OPEN,Montalbetti Victoria,Victoria Moser
F,84,OPEN,Domonkos Denise,Denise Domonkos
F,84,OPEN,Rossi Barbara,Barbara Rossi
F,52,PRIME,Bijelic Jelena,Jelena Bijelic
F,69,PRIME,Jungmann Raphaela,Raphaela Jungmann
F,52,PRIME,Prinz Lisa,Lisa Prinz
F,84,PRIME,Sullivan Bianca,Bianca Sullivan
F,63,PRIME,Kopp Kimberly,Kimberly Kopp
F,84,PRIME,Wallner Bettina,Bettina Wallner
F,63,PRIME,Rauscher Nadine,Nadine Rauscher
F,69,PRIME,Stütz Laura,Laura Stütz
F,63,PRIME,Catena Blessing,Blessing Catena
F,69,PRIME,Unger Vanessa,Vanessa Unger
F,63,PRIME,Kronberger Sophie,Sophie Kronberger
F,76,PRIME,Leitner Daniela,Daniela Leitner
